Tanggal Saham,Nilai Sentimen Saham,Sentimen Saham,Tanggal Berita,Nilai Sentimen Berita,Sentimen Berita
2021-07-16,-3.512711864406783,netral,2021-07-09,0.0,netral
2021-07-19,-1.6784476784476883,netral,2021-07-12,0.0,netral
2021-07-21,-7.2005532503458,negatif,2021-07-14,0.0,netral
2021-07-22,-7.294784580498851,negatif,2021-07-15,0.0,netral
2021-07-23,-2.9528432732316237,netral,2021-07-16,0.0,netral
2021-07-26,-2.516694033935411,netral,2021-07-19,0.2,netral
2021-07-27,-6.762376237623894,negatif,2021-07-20,0.2,netral
2021-07-28,-3.5587064676616955,netral,2021-07-21,0.2,netral
2021-07-29,-2.237096774193551,netral,2021-07-22,0.2,netral
2021-07-30,2.1784989858012245,netral,2021-07-23,0.2,netral
2021-08-02,-5.397489539748922,netral,2021-07-26,0.0,netral
2021-08-03,-12.896265560165928,negatif,2021-07-27,-0.2019230769230768,netral
2021-08-04,-5.123543123543113,netral,2021-07-28,-0.2019230769230768,netral
2021-08-05,-11.821782178217749,negatif,2021-07-29,-0.2019230769230768,netral
2021-08-06,-1.0519230769230816,netral,2021-07-30,-0.2019230769230768,netral
2021-08-09,-8.761951219512273,negatif,2021-08-02,-0.2019230769230768,netral
2021-08-10,-1.851096694470186,netral,2021-08-03,0.0,netral
2021-08-12,-0.3136272545090032,netral,2021-08-05,0.0,netral
2021-08-13,-1.6683087027914547,netral,2021-08-06,1.6,positif
2021-08-16,-3.3594771241830066,netral,2021-08-09,1.6,positif
2021-08-18,-5.774690324740537,netral,2021-08-11,1.6,positif
2021-08-19,-24.949308755760093,negatif,2021-08-12,1.6,positif
2021-08-20,0.7691453940066534,netral,2021-08-13,0.0,netral
2021-08-23,-7.6129032258063525,negatif,2021-08-16,0.0,netral
2021-08-24,-2.9532710280373755,netral,2021-08-17,0.0,netral
2021-08-25,-2.5275288092189494,netral,2021-08-18,0.0,netral
2021-08-26,-1.5866666666666684,netral,2021-08-19,0.0,netral
2021-08-27,-0.7827751196172306,netral,2021-08-20,0.0,netral
2021-08-30,-4.729559748427662,netral,2021-08-23,0.0,netral
2021-08-31,-2.0,netral,2021-08-24,0.0,netral
2021-09-01,-0.027777777777782158,netral,2021-08-25,0.0,netral
2021-09-02,3.915492957746492,netral,2021-08-26,0.0,netral
2021-09-03,3.3079365079365335,netral,2021-08-27,0.0,netral
2021-09-06,-2.0,netral,2021-08-30,-0.1,netral
2021-09-07,-2.0,netral,2021-08-31,-0.1,netral
2021-09-08,-0.0,netral,2021-09-01,-0.1,netral
2021-09-09,-4.0,netral,2021-09-02,-0.1,netral
2021-09-10,-1.5138888888888877,netral,2021-09-03,-0.1,netral
2021-09-13,-2.0,netral,2021-09-06,0.0,netral
2021-09-14,-2.0,netral,2021-09-07,0.0,netral
2021-09-15,-0.666666666666656,netral,2021-09-08,0.0,netral
2021-09-16,-3.9906542056074716,netral,2021-09-09,0.0,netral
2021-09-17,-0.976303317535563,netral,2021-09-10,0.0,netral
2021-09-20,4.169811320754753,netral,2021-09-13,0.0,netral
2021-09-21,-2.0,netral,2021-09-14,-0.1428571428571428,netral
2021-09-22,-3.053658536585362,netral,2021-09-15,-0.1428571428571428,netral
2021-09-23,-1.3074433656957904,netral,2021-09-16,-0.1428571428571428,netral
2021-09-24,-4.058536585365882,netral,2021-09-17,-0.1428571428571428,netral
2021-09-27,-1.6535947712418313,netral,2021-09-20,-0.1428571428571428,netral
2021-09-28,0.029556650246303842,netral,2021-09-21,0.0,netral
2021-09-29,12.207920792079207,positif,2021-09-22,0.0,netral
2021-09-30,-13.827751196172224,negatif,2021-09-23,0.0,netral
2021-10-01,-0.0930232558139609,netral,2021-09-24,0.0,netral
2021-10-04,-28.691588785046783,negatif,2021-09-27,0.0,netral
2021-10-05,-2.0,netral,2021-09-28,0.0,netral
2021-10-06,1.0375939849623999,netral,2021-09-29,0.0,netral
2021-10-07,-2.2902777777777774,netral,2021-09-30,0.0,netral
2021-10-08,-14.594142259414225,negatif,2021-10-01,0.0,netral
2021-10-11,-0.7572590011614349,netral,2021-10-04,0.0,netral
2021-10-12,-2.0,netral,2021-10-05,0.0,netral
2021-10-13,-0.36718749999999817,netral,2021-10-06,0.0,netral
2021-10-14,-16.382022471910197,negatif,2021-10-07,0.0,netral
2021-10-15,-3.2415584415584457,netral,2021-10-08,0.0,netral
2021-10-18,0.3688888888888777,netral,2021-10-11,0.5333333333333332,netral
2021-10-19,-2.0,netral,2021-10-12,0.6833333333333332,positif
2021-10-21,-1.355772255426235,netral,2021-10-14,0.7856060606060604,positif
2021-10-22,-0.8609215017064853,netral,2021-10-15,0.7856060606060604,positif
2021-10-25,-0.5234899328859086,netral,2021-10-18,0.2522727272727272,netral
2021-10-26,-2.4238618524332822,netral,2021-10-19,0.1244949494949494,netral
2021-10-27,-4.593356242840789,netral,2021-10-20,-0.2277777777777778,netral
2021-10-28,-2.510600706713785,netral,2021-10-21,-0.2277777777777778,netral
2021-10-29,-2.831205673758865,netral,2021-10-22,-0.2277777777777778,netral
2021-11-01,1.1928571428571526,netral,2021-10-25,-0.2277777777777778,netral
2021-11-02,-0.569343065693434,netral,2021-10-26,-0.25,netral
2021-11-03,-4.407169117647065,netral,2021-10-27,0.0,netral
2021-11-04,0.014234875444819061,netral,2021-10-28,0.0,netral
2021-11-05,0.014285714285704222,netral,2021-10-29,0.2,netral
2021-11-08,-3.3429256594724115,netral,2021-11-01,0.2,netral
2021-11-09,-2.0,netral,2021-11-02,0.2,netral
2021-11-10,-1.7856579984239596,netral,2021-11-03,0.2,netral
2021-11-11,1.971731448763292,netral,2021-11-04,0.2,netral
2021-11-12,2.982206405693983,netral,2021-11-05,0.0,netral
2021-11-15,-4.014492753623195,netral,2021-11-08,0.8666666666666666,positif
2021-11-16,-2.0,netral,2021-11-09,0.8666666666666666,positif
2021-11-17,8.254545454545541,positif,2021-11-10,0.8666666666666666,positif
2021-11-18,1.0321428571428248,netral,2021-11-11,0.8666666666666666,positif
2021-11-19,-3.6231046931407875,netral,2021-11-12,0.8666666666666666,positif
2021-11-22,-4.94661921708185,netral,2021-11-15,0.0,netral
