,title,sentimen
0,"Bank Mandiri Beberkan Tantangan Ekonomi RI, Bikin Ngeri? - CNBC Indonesia",Netral
1,"Laba BUMN Meroket, Bank Mandiri Sumbang Rp 28,03 T - CNBC Indonesia",Netral
2,Mantap! Transaksi Livin' by Mandiri Tembus Rp 880 T - CNBC Indonesia,Positif
3,"Asyik Nih, Mau Punya Motor Listrik Udah Bisa Lewat Kredit - CNBC Indonesia",Positif
4,Catat! 5 BUMN Ini Berikan Gaji Besar Buat Fresh Graduate - CNBC Indonesia,Positif
5,Digitalisasi Bank di Indonesia Picu 'Kiamat' Teller & ATM? - CNBC Indonesia,Netral
6,"Mengintip Gaji Karyawan Bank BUMN, Siapa yang Paling Tinggi? - CNBC Indonesia",Netral
7,"Rupiah Keok, BI Yakin Tak Perlu Naikkan Suku Bunga? - CNBC Indonesia",Netral
8,"Kalori & Produksi Terbatas,Tantangan Batu Bara RI Masuk Eropa - CNBC Indonesia",Negatif
9,"Semengerikan Apa Krisis yang Bakal Terjadi, 1998 atau 2008? - CNBC Indonesia",Negatif
10,"Langkahi BMRI, GOTO Kembali Jadi Emiten Terbesar ke-4 di BEI - CNBC Indonesia",Netral
11,"Ini 11 BUMN Penyumbang Dividen Terbesar 2022, Ada Jagoanmu? - CNBC Indonesia",Netral
12,"Yuk Baca Kabar Pasar, Dividen Unilever Hingga IPO HILLCON - CNBC Indonesia",Netral
13,"Jadi Profesi Idaman, Simak Daftar Gaji Karyawan Bank di 2022 - CNBC Indonesia",Netral
14,"IHSG Kembali ke Psikologis 7.000, Semoga Naik Terus Ya! - CNBC Indonesia",Netral
15,Ini Bank yang Sediakan Biaya Transfer Antar Bank Rp 2.500 - CNBC Indonesia,Netral
16,"RI Selamat, Sederet Negara Ini Ambruk Terjerat Utang - CNBC Indonesia",Netral
17,Negara Diminta Talangi Pesangon Eks Karyawan Merpati Rp 318 M - CNBC Indonesia,Netral
18,"Yakin Kuat Tahan Bunga, BI? - CNBC Indonesia",Positif
19,Begini Penjelasan Kementerian BUMN Soal UUS BTN Gabung ke BSI - CNBC Indonesia,Netral
20,"Soal Metaverse dan Akuisisi Bank Kecil, Ini Kata Bank Mandiri - CNBC Indonesia",Negatif
21,"Intens Digitalisasi, AXA Mandiri Raih Pendapatan Premi Rp 12T - CNBC Indonesia",Positif
22,"IHSG Tak Jadi Nyungsep Bareng LQ 45, Kenapa Ya? - CNBC Indonesia",Netral
23,Setoran Laba BMRI Rp 28 T Hingga Bundamedik Terus Untung - CNBC Indonesia,Netral
24,"Kipas-Kipas, RI Dapat Setoran Rp 41 Triliun dari 11 BUMN Ini - CNBC Indonesia",Netral
25,"Segini Beda Gaji PNS dan Karyawan BUMN, Lebih Mantap Mana? - CNBC Indonesia",Positif
26,Bank Mandiri Jawab Kenapa Livin Mandiri Eror - CNBC Indonesia,Netral
27,"8 Bansos Ini Cair di Juni 2022, Cek Nama Anda di Sini! - CNBC Indonesia",Positif
28,A Man With Million Ways Rayakan HUT di CNBC Golf Tournament - CNBC Indonesia,Netral
29,"The Fed Kerek Bunga Acuan, Awas Sikut-Sikutan Rebutan Dana! - CNBC Indonesia",Netral
30,"Tarif Listrik Buat Orang Kaya Naik, Inflasi Makin Melejit? - CNBC Indonesia",Positif
31,Bank Mandiri Dorong Inklusi Keuangan di Momen Presidensi G20 - CNBC Indonesia,Netral
32,Berat Nih Hantamannya! Rupiah Bakal Tembus 15.000/US$? - CNBC Indonesia,Netral
33,Transformasi Digital Dorong Pertumbuhan Bank Mandiri - CNBC Indonesia,Netral
34,"Bankir Kurangi Kredit Fosil, 'Kiamat' Batu Bara Makin Nyata? - CNBC Indonesia",Positif
35,"Musim Dividen, BUMN Setor Triliunan Untuk Pemerintah - CNBC Indonesia",Netral
36,Kenapa Laba Bank Mandiri (BMRI) Melesat? Ternyata Karena Ini! - CNBC Indonesia,Netral
